"Genome"	"original_bin"	"classification"	"fastani_reference"	"fastani_reference_radius"	"fastani_taxonomy"	"fastani_ani"	"fastani_af"	"closest_placement_reference"	"closest_placement_radius"	"closest_placement_taxonomy"	"closest_placement_ani"	"closest_placement_af"	"pplacer_taxonomy"	"classification_method"	"note"	"other_related_references.genome_id.species_name.radius.ANI.AF."	"msa_percent"	"translation_table"	"red_value"	"warnings"	"completeness"	"contamination"	"length"	"N50"	"centrality"
"MGYG000000311"	"ERR7738514_bin.69"	"d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Limenecus;s__Limenecus avicola"	"GCA_000980375.1"	"95.0"	"d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Limenecus;s__Limenecus avicola"	"98.1"	"0.949"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	99.77	0.34	2193387	188563	0.995388
"MGYG000000312"	"ERR7738514_bin.77"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter hominis"	"GCF_014384965.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter hominis"	"98.46"	"0.836"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	95.96	1.07	2633496	67791	0
"MGYG000000313"	"ERR7738514_bin.78"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000433635"	"GCA_000433635.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000433635"	"97.57"	"0.889"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	92.33	0.03	2227202	94856	0.96497465
"MGYG000000314"	"ERR7738514_bin.79"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1865;s__UMGS1865 sp900547725"	"GCA_900547725.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1865;s__UMGS1865 sp900547725"	"98.17"	"0.927"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	97.12	0.43	2638596	164707	0.971347666666667
"MGYG000000315"	"ERR7738514_bin.83"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435975"	"GCA_000435975.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435975"	"98.48"	"0.88"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	93.34	0.18	1633051	30418	0.981154222222222
"MGYG000000316"	"ERR7738514_bin.84"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-288;g__CAG-345;s__CAG-345 sp000433315"	"GCA_000433315.1"	"95.0"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-288;g__CAG-345;s__CAG-345 sp000433315"	"99.63"	"0.949"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	95.2	0.07	1604729	252849	0
"MGYG000000317"	"ERR7738514_bin.89"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp003531585"	"GCA_003531585.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp003531585"	"98.21"	"0.888"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	98.28	0.45	3260472	75128	0.978605
"MGYG000000318"	"ERR7738514_bin.94"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Merdivicinus;s__Merdivicinus sp900555435"	"GCA_900555435.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Merdivicinus;s__Merdivicinus sp900555435"	"98.05"	"0.847"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	82.34	4.53	1953813	4407	0.955179
"MGYG000000319"	"ERR7738514_bin.97"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__UBA7597;s__UBA7597 sp900542935"	"GCA_900542935.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__UBA7597;s__UBA7597 sp900542935"	"98.16"	"0.828"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	93.17	0.25	2140619	74428	0.976813333333333
"MGYG000000320"	"ERR7738515_bin.11"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprophilus"	"GCF_000157915.1"	"95.0"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprophilus"	"99.05"	"0.86"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	85.39	2.63	3031170	96745	0.988363
"MGYG000000321"	"ERR7738515_bin.19"	"d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp934630735"	"GCA_934630735.1"	"95.0"	"d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp934630735"	"99.97"	"0.95"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	91.55	1.21	2155485	31992	0.950511
"MGYG000000322"	"ERR7738515_bin.24"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900547085"	"GCA_900547085.1"	"95.0"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900547085"	"95.73"	"0.768"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"GCA_934120735.1, s__Prevotella sp934120735, 95.0, 95.07, 0.72"	"N/A"	"N/A"	"N/A"	"N/A"	93.47	1.62	2344334	12859	0
"MGYG000000323"	"ERR7738515_bin.26"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"GCA_019414665.1"	"95.0"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp019414665"	"95.85"	"0.29"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__"	"taxonomic classification defined by topology and ANI"	"classification based on placement in class-level tree"	"GCA_900760795.1, s__Phocaeicola sp900760795, 95.0, 96.53, 0.386; GCF_000012825.1, s__Phocaeicola vulgatus, 95.359, 95.98, 0.48; GCF_003437535.1, s__Phocaeicola plebeius_A, 95.0, 94.71, 0.446; GCF_013009555.1, s__Phocaeicola dorei, 95.359, 92.41, 0.455; GCF_000187895.1, s__Phocaeicola plebeius, 95.0, 91.13, 0.406; GCF_000614185.1, s__Phocaeicola sartorii, 95.0, 87.88, 0.366; GCA_011959205.1, s__Phocaeicola sp011959205, 95.0, 87.76, 0.313; GCA_902362595.1, s__Phocaeicola merdigallinarum, 95.0, 83.13, 0.38; GCF_016900355.1, s__Phocaeicola sp900551065, 95.0, 82.71, 0.32; GCF_900128455.1, s__Phocaeicola mediterraneensis, 95.0, 82.7, 0.357; GCA_900551445.1, s__Phocaeicola sp900551445, 95.0, 82.15, 0.209; GCF_000382445.1, s__Phocaeicola massiliensis, 95.0, 81.78, 0.257; GCA_900552075.1, s__Phocaeicola sp900552075, 95.0, 80.54, 0.148; GCA_902388365.1, s__Phocaeicola sp902388365, 95.0, 80.5, 0.306; GCF_000154845.1, s__Phocaeicola coprocola, 95.0, 79.81, 0.186; GCF_013618865.1, s__Phocaeicola faecicola, 95.0, 79.7, 0.211; GCA_018884025.1, s__Phocaeicola faecipullorum, 95.0, 79.62, 0.129; GCF_021730445.1, s__Phocaeicola faecalis, 95.0, 79.51, 0.247; GCA_900551645.1, s__Phocaeicola sp900551645, 95.0, 79.43, 0.122; GCF_000157915.1, s__Phocaeicola coprophilus, 95.0, 79.13, 0.191; GCF_900128495.1, s__Phocaeicola ilei, 95.0, 78.98, 0.177; GCA_019414725.1, s__Phocaeicola sp019414725, 95.0, 78.97, 0.146; GCA_900544075.1, s__Phocaeicola sp900544075, 95.0, 78.61, 0.124; GCA_900556845.1, s__Phocaeicola sp900556845, 95.0, 78.58, 0.096; GCA_900542985.1, s__Phocaeicola sp900542985, 95.0, 78.53, 0.133; GCA_944321335.1, s__Phocaeicola sp944321335, 95.0, 78.5, 0.132; GCA_900546645.1, s__Phocaeicola sp900546645, 95.0, 78.47, 0.121; GCF_000374585.1, s__Phocaeicola barnesiae, 95.0, 78.34, 0.217; GCF_014837065.1, s__Phocaeicola intestinalis, 95.0, 78.33, 0.136; GCF_021531075.1, s__Phocaeicola caecigallinarum_B, 95.0, 78.3, 0.131; GCA_019550975.1, s__Phocaeicola excrementipullorum, 95.0, 78.21, 0.144; GCA_020026175.1, s__Phocaeicola sp020026175, 95.0, 78.2, 0.075; GCA_000432735.1, s__Phocaeicola sp000432735, 95.0, 78.19, 0.177; GCF_016901995.1, s__Phocaeicola sp900066445, 95.0, 78.18, 0.131; GCA_900553185.1, s__Phocaeicola sp900553185, 95.0, 78.08, 0.105; GCF_021530995.1, s__Phocaeicola faecigallinarum, 95.0, 78.06, 0.135; GCF_000190575.1, s__Phocaeicola salanitronis, 95.0, 77.84, 0.131; GCA_905198575.1, s__Phocaeicola sp905198575, 95.0, 77.81, 0.106; GCA_000434735.1, s__Phocaeicola sp000434735, 95.0, 77.77, 0.107; GCF_016902295.1, s__Phocaeicola caecigallinarum_A, 95.0, 77.76, 0.12; GCA_000436795.1, s__Phocaeicola sp000436795, 95.0, 77.75, 0.13; GCA_017472925.1, s__Phocaeicola sp017472925, 95.0, 77.66, 0.094; GCA_944322395.1, s__Phocaeicola sp944322395, 95.0, 77.64, 0.094; GCA_944320605.1, s__Phocaeicola sp944320605, 95.0, 77.61, 0.084; GCF_014837055.1, s__Phocaeicola faecium, 95.0, 77.59, 0.137; GCA_015060705.1, s__Phocaeicola sp015060705, 95.0, 77.55, 0.101; GCA_017503235.1, s__Phocaeicola sp017503235, 95.0, 77.55, 0.096; GCA_020026225.1, s__Phocaeicola sp020026225, 95.0, 77.53, 0.086; GCA_944320815.1, s__Phocaeicola sp944320815, 95.0, 77.53, 0.148; GCA_900552645.1, s__Phocaeicola sp900552645, 95.0, 77.49, 0.07; GCA_944320855.1, s__Phocaeicola sp944320855, 95.0, 77.48, 0.114; GCA_900544675.1, s__Phocaeicola sp900544675, 95.0, 77.45, 0.145; GCA_022767125.1, s__Phocaeicola plebeius_C, 95.0, 77.39, 0.099; GCA_019120125.1, s__Phocaeicola excrementigallinarum, 95.0, 77.34, 0.123; GCA_023415545.1, s__Phocaeicola sp023415545, 95.0, 77.31, 0.053; GCA_017467385.1, s__Phocaeicola sp017467385, 95.0, 77.31, 0.093; GCA_015060765.1, s__Phocaeicola sp015060765, 95.0, 77.3, 0.083; GCA_015060735.1, s__Phocaeicola sp015060735, 95.0, 77.29, 0.093; GCF_002161765.1, s__Phocaeicola sp002161765, 95.0, 77.27, 0.133; GCA_944320135.1, s__Phocaeicola sp944320135, 95.0, 77.18, 0.101; GCA_004558305.1, s__Phocaeicola plebeius_B, 95.0, 77.1, 0.081; GCA_017420875.1, s__Phocaeicola sp017420875, 95.0, 77.08, 0.094; GCA_944320845.1, s__Phocaeicola sp944320845, 95.0, 77.07, 0.106; GCA_944319745.1, s__Phocaeicola sp944319745, 95.0, 77.07, 0.053; GCA_900546355.1, s__Phocaeicola sp900546355, 95.0, 77.06, 0.115; GCF_000613805.1, s__Phocaeicola paurosaccharolyticus, 95.0, 77.01, 0.061; GCA_017416735.1, s__Phocaeicola sp017416735, 95.0, 76.77, 0.082; GCA_017559935.1, s__Phocaeicola sp017559935, 95.0, 76.77, 0.077; GCA_017558175.1, s__Phocaeicola sp017558175, 95.0, 76.75, 0.082; GCA_017466635.1, s__Phocaeicola sp017466635, 95.0, 76.67, 0.101; GCA_019116145.1, s__Phocaeicola gallistercoris, 95.0, 76.53, 0.064; GCA_902779535.1, s__Phocaeicola sp902779535, 95.0, 76.06, 0.045; GCF_000312445.1, s__Phocaeicola abscessus, 95.0, 75.95, 0.024; GCA_021295095.1, s__Phocaeicola sp021295095, 95.0, 75.82, 0.038; GCA_022764505.1, s__Phocaeicola sp022764505, 95.0, 75.75, 0.029"	"52.14"	"11"	"0.9941"	"N/A"	58	1.05	2802267	115929	0
"MGYG000000324"	"ERR7738515_bin.29"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Sutterella;s__Sutterella massiliensis"	"GCF_016899755.1"	"95.0"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Sutterella;s__Sutterella massiliensis"	"98.91"	"0.915"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	89.72	0.87	2780733	101475	0
"MGYG000000325"	"ERR7738515_bin.30"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp001916055"	"GCA_001916055.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp001916055"	"97.73"	"0.86"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	97.02	4.38	1714446	123286	0
"MGYG000000326"	"ERR7738515_bin.32"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900552475"	"GCA_900552475.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900552475"	"98.3"	"0.901"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	77.94	0.38	1554141	6614	0.974355
"MGYG000000327"	"ERR7738515_bin.33"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia sp003470905"	"GCF_014287515.2"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia sp003470905"	"98.25"	"0.887"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	99.93	0.77	3496407	84502	0.980206666666667
"MGYG000000328"	"ERR7738515_bin.38"	"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatocola;s__Scatocola faecipullorum"	"GCA_001917125.1"	"95.0"	"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatocola;s__Scatocola faecipullorum"	"99.12"	"0.913"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	100	0.22	1777690	59630	0.989951
"MGYG000000329"	"ERR7738515_bin.39"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900550705"	"GCA_900550705.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900550705"	"96.78"	"0.788"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	84.31	1.44	1445870	9441	0
"MGYG000000330"	"ERR7738515_bin.40"	"d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli"	"GCF_000325665.1"	"95.0"	"d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli"	"98.11"	"0.898"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	99.98	0.3	2737665	84042	0.98063425
"MGYG000000331"	"ERR7738515_bin.42"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335"	"GCA_000436335.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335"	"97.31"	"0.931"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	100	0.15	1884504	548030	0.97203752173913
"MGYG000000332"	"ERR7738515_bin.43"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900313215"	"GCF_009495355.1"	"95.0"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900313215"	"97.33"	"0.811"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	99.82	4.33	3305406	45661	0.972799882352941
"MGYG000000333"	"ERR7738515_bin.8"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-245;s__CAG-245 sp934119935"	"GCA_934119935.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-245;s__CAG-245 sp934119935"	"95.87"	"0.863"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	100	2.25	1592763	100320	0
"MGYG000000334"	"ERR7738537_bin.102"	"d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia_A;s__Slackia_A sp934630525"	"GCA_934630525.1"	"95.0"	"d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia_A;s__Slackia_A sp934630525"	"95.5"	"0.891"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"GCA_934646845.1, s__Slackia_A sp934646845, 95.0, 95.27, 0.744"	"N/A"	"N/A"	"N/A"	"N/A"	75.56	2.56	1705052	7323	0
"MGYG000000335"	"ERR7738537_bin.105"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-841;s__CAG-841 sp900544285"	"GCA_900544285.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-841;s__CAG-841 sp900544285"	"98.31"	"0.918"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	96.55	0.03	1722100	129497	0.9916635
"MGYG000000336"	"ERR7738537_bin.111"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1225;s__UMGS1225 sp900549725"	"GCA_900549725.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1225;s__UMGS1225 sp900549725"	"98.57"	"0.914"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	87.94	0.1	1874266	57304	0.984331666666667
"MGYG000000337"	"ERR7738537_bin.114"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__RUG12783;s__RUG12783 sp934167885"	"GCA_934167885.1"	"95.0"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__RUG12783;s__RUG12783 sp934167885"	"99.85"	"0.921"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	97.04	4.75	1660184	73371	0
"MGYG000000338"	"ERR7738537_bin.116"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum sp900544475"	"GCA_900544475.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum sp900544475"	"97.1"	"0.827"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	67.17	0.4	1537925	5670	0
"MGYG000000339"	"ERR7738537_bin.123"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__SFMI01;s__SFMI01 sp934647235"	"GCA_934647235.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__SFMI01;s__SFMI01 sp934647235"	"98.12"	"0.918"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	62.9	2.04	1809141	2599	0
"MGYG000000340"	"ERR7738537_bin.124"	"d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii"	"GCF_000016525.1"	"95"	"d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii"	"97.66"	"0.936"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	99.86	0.11	1746318	107166	0.983012904761905
"MGYG000000341"	"ERR7738537_bin.129"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_F;s__Ruminococcus_F champanellensis"	"GCF_000210095.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_F;s__Ruminococcus_F champanellensis"	"97.95"	"0.99"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	63.03	0.97	1467441	3191	0.959676
"MGYG000000342"	"ERR7738537_bin.13"	"d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__UBA1436;s__UBA1436 sp934662565"	"GCA_934662565.1"	"95.0"	"d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__UBA1436;s__UBA1436 sp934662565"	"98.08"	"0.922"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	96.34	0.19	1547823	75060	0.9837526
"MGYG000000343"	"ERR7738537_bin.134"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737 sp934454845"	"GCA_934454845.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737 sp934454845"	"99.45"	"0.992"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	59.23	0.17	955195	2910	0
"MGYG000000344"	"ERR7738537_bin.139"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1484;s__UMGS1484 sp900552285"	"GCA_900552285.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1484;s__UMGS1484 sp900552285"	"97.77"	"0.883"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	59.85	1.75	1088426	3203	0
